solver,problem,dim,factor,default,tested,tested_scores,best,best_score,baseline_score
ASTROMORF,ROSENBROCK-1,100,subproblem_regularisation,0.15,"[0.075, 0.15, 0.3]","[20.754837052310165, 20.79023966285363, 33.743320898216425]",0.075,20.754837052310165,20.79023966285363
ASTROMORF,ROSENBROCK-1,100,ps_sufficient_reduction,0.1,"[0.01, 0.02, 0.05]","[20.79023966285363, 20.79023966285363, 20.79023966285363]",0.01,20.79023966285363,20.79023966285363
ASTROMORF,PARAMESTI-1,100,eta_1,0.1,"[0.01, 0.03, 0.05]","[-6.962248726111159, -6.962248726111159, -6.962248726111159]",0.01,-6.962248726111159,-6.962248726111159
ASTROMORF,PARAMESTI-1,100,eta_2,0.8,"[0.2, 0.5, 0.8]","[-6.962248726111159, -6.962248726111159, -6.962248726111159]",0.2,-6.962248726111159,-6.962248726111159
ASTROMORF,PARAMESTI-1,100,gamma_1,2.5,"[2.0, 2.5, 3.5]","[-6.962248726111159, -6.962248726111159, -6.962248726111159]",2.0,-6.962248726111159,-6.962248726111159
ASTROMORF,PARAMESTI-1,100,gamma_2,1.2,"[1.2, 1.5, 2.0]","[-6.962248726111159, -6.962248726111159, -6.962248726111159]",1.2,-6.962248726111159,-6.962248726111159
ASTROMORF,PARAMESTI-1,100,gamma_3,0.5,"[0.3, 0.5, 0.8]","[-6.962248726111159, -6.962248726111159, -6.962248726111159]",0.3,-6.962248726111159,-6.962248726111159
ASTROMORF,PARAMESTI-1,100,lambda_min,5.0,"[4, 6, 10]","[-6.962248726111159, -6.962248726111159, -6.962248726111159]",4.0,-6.962248726111159,-6.962248726111159
ASTROMORF,PARAMESTI-1,100,subproblem_regularisation,0.15,"[0.075, 0.15, 0.3]","[-6.962248726111159, -6.962248726111159, -6.962248726111159]",0.075,-6.962248726111159,-6.962248726111159
ASTROMORF,PARAMESTI-1,100,ps_sufficient_reduction,0.1,"[0.01, 0.02, 0.05]","[-6.962248726111159, -6.962248726111159, -6.962248726111159]",0.01,-6.962248726111159,-6.962248726111159
ASTROMORF,DYNAMNEWS-1,100,eta_1,0.1,"[0.01, 0.03, 0.05]","[133.34500293696163, 133.3528249992717, 133.3528249992717]",0.01,133.34500293696163,133.31622723631986
ASTROMORF,DYNAMNEWS-1,100,eta_2,0.8,"[0.2, 0.5, 0.8]","[132.91782022981698, 133.3406646771452, 133.31622723631986]",0.2,132.91782022981698,133.31622723631986
ASTROMORF,DYNAMNEWS-1,100,gamma_1,2.5,"[2.0, 2.5, 3.5]","[133.2829673668951, 133.31622723631986, 133.26278500668082]",3.5,133.26278500668082,133.31622723631986
ASTROMORF,DYNAMNEWS-1,100,gamma_2,1.2,"[1.2, 1.5, 2.0]","[133.31622723631986, 133.4043897677643, 133.2755088162089]",2.0,133.2755088162089,133.31622723631986
ASTROMORF,DYNAMNEWS-1,100,gamma_3,0.5,"[0.3, 0.5, 0.8]","[133.43171360411992, 133.31622723631986, 133.39711019075668]",0.5,133.31622723631986,133.31622723631986
ASTROMORF,DYNAMNEWS-1,100,lambda_min,5.0,"[4, 6, 10]","[133.4548208000794, 133.35151133913365, 133.2457833877004]",10.0,133.2457833877004,133.31622723631986
ASTROMORF,DYNAMNEWS-1,100,subproblem_regularisation,0.15,"[0.075, 0.15, 0.3]","[133.35873805154722, 133.31622723631986, 133.30784776282692]",0.3,133.30784776282692,133.31622723631986
ASTROMORF,DYNAMNEWS-1,100,ps_sufficient_reduction,0.1,"[0.01, 0.02, 0.05]","[133.22950969391437, 133.32504825789258, 133.32438059082938]",0.01,133.22950969391437,133.31622723631986
